date,SPDYNLE00INUSA,CPIMEDSL,CPIHOSNS,CUSR0000SEMD,AHETPI,MEHOINUSA672N,medical_indexed,wage_indexed,healthcare_burden,life_exp_gained,medical_cost_increase,cost_per_life_year
2003-01-01,77.0365853658537,292.7,182.3,384.9,15.22,70080.0,391.0052321050875,222.32501521606815,1.758710020665404,3.4268292682926926,309.9439775910364,90.44628527567585
2004-01-01,77.4878048780488,303.8,186.3,408.6,15.51,69970.0,405.8332405655127,226.56116859403528,1.791274484873032,3.878048780487802,325.4901960784314,83.93143420890375
2005-01-01,77.4878048780488,316.9,191.8,429.9,15.9,71060.0,423.33296226205056,232.258064516129,1.8226835875171623,3.878048780487802,343.83753501400554,88.66250902876878
2006-01-01,77.6878048780488,329.6,200.0,452.6,16.42,71850.0,440.2983413113661,239.85392574558736,1.8356937037519652,4.078048780487791,361.62464985994393,88.67590098240282
2007-01-01,77.9878048780488,343.579,206.057,481.4,17.09,73010.0,458.97228097517547,249.6409007912355,1.8385299825487944,4.378048780487802,381.203081232493,87.07145588040235
2008-01-01,78.0390243902439,360.463,212.244,522.7,17.74,70520.0,481.5268841144385,259.1357273280584,1.858203378898963,4.429268292682892,404.8501400560224,91.40339065141546
2009-01-01,78.390243902439,369.824,216.928,550.835,18.39,70070.0,494.03183791606375,268.6305538648813,1.8390753799530832,4.780487804877993,417.9607843137255,87.43057222889259
2010-01-01,78.5414634146342,382.742,215.925,587.969,18.88,68420.0,511.2884337081154,275.7881923311016,1.853917056370131,4.93170731707319,436.0532212885154,88.41830896552453
2011-01-01,78.6414634146341,394.072,216.739,625.928,19.33,67410.0,526.4236891906936,282.3615337796713,1.8643604960775777,5.031707317073099,451.92156862745094,89.81475673158387
2012-01-01,78.7414634146342,408.394,220.805,659.475,19.59,67400.0,545.5558276744964,286.15946439440046,1.9064748699787255,5.131707317073193,471.98039215686276,91.97336539178369
2013-01-01,78.7414634146342,421.114,224.79,688.415,19.94,69950.0,562.5479238561728,291.2720632988436,1.931348710497517,5.131707317073193,489.79551820728284,95.44494413735033
2014-01-01,78.8414634146341,429.989,230.256,718.371,20.39,69060.0,574.4036513414228,297.8454047474132,1.9285295061998484,5.231707317073102,502.22549019607834,95.9964806435407
2015-01-01,78.690243902439,441.351,235.485,747.897,20.8,72790.0,589.5816542357788,303.8344491783323,1.9404700679274536,5.08048780487799,518.1386554621848,101.98600515578408
2016-01-01,78.5390243902439,454.194,240.424,780.152,21.31,75380.0,606.7380607814762,311.2842361533779,1.9491448339276665,4.929268292682892,536.126050420168,108.76382022378547
2017-01-01,78.5390243902439,471.484,247.942,810.692,21.82,76710.0,629.8350217076702,318.7340231284236,1.9760520559610872,4.929268292682892,560.3417366946778,113.67645326314673
2018-01-01,78.6390243902439,480.797,254.857,857.19,22.36,77700.0,642.2758543916289,326.6220328667072,1.966419254556959,5.0292682926829,573.3851540616247,114.00965720915003
2019-01-01,78.7878048780488,489.968,262.284,878.079,23.13,83260.0,654.5269954358233,337.869750456482,1.9372169143627649,5.178048780487799,586.2296918767507,113.2144011631974
2020-01-01,76.9804878048781,511.854,269.468,910.413,23.91,81580.0,683.7635533786042,349.2635423006694,1.9577295382006257,3.3707317073170913,616.8823529411764,183.0114071677865
2021-01-01,76.3292682926829,521.774,274.336,936.837,25.17,81270.0,697.0152510297229,367.6688983566646,1.895768867437814,2.7195121951218937,630.7759103641456,231.9445051563275
2022-01-01,77.4341463414634,534.649,289.889,970.276,26.91,79500.0,714.2144049871981,393.08581862446744,1.816942690749979,3.8243902439024,648.8081232492997,169.65008324758648
2023-01-01,78.3853658536585,550.887,313.747,1008.954,28.31,82690.0,735.9060447511968,413.53621424223974,1.779544377025516,4.775609756097495,671.550420168067,140.62087449893323
