date,CPIMEDSL,CPIHOSNS,CUSR0000SEMD,AHETPI,MEHOINUSA672N,medical_indexed,wage_indexed,healthcare_burden
2009-04-01,373.077,217.126,562.598,18.52,,498.377379494601,270.52951917224584,1.8422291993107216
2009-05-01,374.359,216.971,563.442,18.53,,500.0899476789492,270.6755934266585,1.8475620256262675
2009-06-01,375.177,218.071,565.212,18.56,,501.18267839251934,271.1138161898965,1.8486061884853389
2009-07-01,376.001,218.085,569.44,18.59,,502.2834242457977,271.55203895313446,1.8496764973010709
2009-08-01,377.091,217.827,572.39,18.67,,503.7395079594791,272.7206329884358,1.847089831229745
2009-09-01,378.359,217.178,575.26,18.7,,505.4333741511745,273.15885575167374,1.8503276152637695
2009-10-01,379.291,216.612,577.182,18.74,,506.67839251920304,273.74315276932435,1.8509262693637736
2009-11-01,380.45,215.808,582.222,18.8,,508.2266503395303,274.61959829580036,1.8506568849907985
2009-12-01,381.111,215.523,584.832,18.84,,509.1096515640655,275.20389531345097,1.849936211782908
2010-01-01,382.742,215.925,587.969,18.88,68420.0,511.2884337081154,275.7881923311016,1.853917056370131
2010-02-01,384.308,215.841,593.682,18.91,,513.3803851719916,276.2264150943396,1.8585492086144508
2010-03-01,385.712,216.023,599.818,18.92,,515.2559278637427,276.3724893487523,1.8643531745069795
2010-04-01,386.589,215.798,601.942,18.96,,516.4274741177782,276.9567863664029,1.8646500087366156
2010-05-01,387.094,215.981,604.181,19.01,,517.1020817098965,277.6871576384662,1.8621749961628968
2010-06-01,388.188,216.778,607.047,19.03,,518.5635088500502,277.97930614729154,1.8654752256100728
2010-07-01,388.123,217.076,605.352,19.04,,518.4766781698765,278.12538040170415,1.8641832594386978
2010-08-01,389.059,216.976,608.594,19.11,,519.7270399643772,279.14790018259276,1.8618339583583463
2010-09-01,391.288,216.602,617.542,19.11,,522.7046643660249,279.14790018259276,1.8725007926769994
2010-10-01,391.926,216.1,621.176,19.21,,523.5569408883447,280.60864272671944,1.8657905038164806
2010-11-01,392.535,215.83,620.644,19.21,,524.3704775687411,280.60864272671944,1.8686896899302479
2010-12-01,393.514,216.142,624.23,19.23,,525.6782811978181,280.9007912355447,1.8714019240943303
2011-01-01,394.072,216.739,625.928,19.33,67410.0,526.4236891906936,282.3615337796713,1.8643604960775775
2011-02-01,395.518,217.259,628.558,19.31,,528.355337860403,282.069385270846,1.873139608373559
2011-03-01,396.29,217.707,630.08,19.3,,529.3866191695427,281.92331101643333,1.8777681677365257
2011-04-01,397.701,217.901,633.979,19.36,,531.2715128576201,282.7997565429093,1.8786137560801264
2011-05-01,398.721,218.484,638.038,19.41,,532.6340866080375,283.53012781497256,1.8785802084342387
2011-06-01,399.416,219.553,640.023,19.41,,533.5625069575866,283.53012781497256,1.8818547117708118
2011-07-01,400.539,220.23,642.595,19.48,,535.0626739396639,284.55264759586123,1.880364419239536
2011-08-01,401.387,220.506,646.535,19.47,,536.1954803517757,284.4065733414485,1.8853132473419956
2011-09-01,402.202,220.54,647.641,19.49,,537.2842034954916,284.69872185027384,1.8872027243524305
2011-10-01,404.068,220.138,651.864,19.56,,539.7769119447846,285.72124163116246,1.8891731985456741
2011-11-01,405.751,219.969,655.723,19.56,,542.0251586329734,285.72124163116246,1.8970418703859397
2011-12-01,407.23,220.193,657.349,19.57,,544.0008905710788,285.8673158855751,1.902983868183194
2012-01-01,408.394,220.805,659.475,19.59,67400.0,545.5558276744964,286.15946439440046,1.9064748699787257
2012-02-01,408.89,221.117,659.495,19.58,,546.2184125570523,286.0133901399878,1.9097651766922816
2012-03-01,410.257,221.487,660.699,19.64,,548.0445285539354,286.88983566646374,1.910296080308291
2012-04-01,411.475,221.682,664.458,19.67,,549.671601914728,287.3280584297018,1.913045335421746
2012-05-01,412.864,221.971,667.993,19.68,,551.5271067572081,287.47413268411435,1.9185277701602583
2012-06-01,415.289,223.051,674.189,19.71,,554.7665590559947,287.9123554473524,1.9268591589062218
2012-07-01,417.004,223.316,677.217,19.75,,557.0575531559614,288.496652465003,1.9308978055595878
2012-08-01,417.555,223.699,674.938,19.74,,557.7936101525104,288.3505782105903,1.934428616769197
2012-09-01,418.453,223.901,677.529,19.79,,558.9932093955249,289.08094948265364,1.9336909277346461
2012-10-01,419.07,223.708,678.981,19.79,,559.8174329288657,289.08094948265364,1.9365421136561534
2012-11-01,419.509,223.814,683.221,19.85,,560.4038739841925,289.95739500912964,1.9327110935265077
2012-12-01,420.321,224.032,687.128,19.91,,561.4885895580542,290.83384053560553,1.9306164252550713
2013-01-01,421.114,224.79,688.415,19.94,69950.0,562.5479238561728,291.2720632988436,1.9313487104975173
2013-02-01,421.601,225.382,692.496,19.99,,563.1984860291662,292.0024345709068,1.928745857399367
2013-03-01,423.089,225.643,695.528,20.01,,565.1862406768341,292.2945830797322,1.9336185936865702
2013-04-01,423.025,225.986,691.69,20.04,,565.1007458532785,292.73280584297015,1.9304318975318875
2013-05-01,422.316,226.896,692.422,20.04,,564.1536235110766,292.73280584297015,1.9271964475812935
2013-06-01,424.286,228.068,696.553,20.13,,566.7852610486475,294.0474741326841,1.927529772940321
2013-07-01,425.008,228.374,699.12,20.14,,567.7497495268842,294.19354838709677,1.92985112229533
2013-08-01,427.168,228.564,710.158,20.17,,570.635199821886,294.63177115033477,1.9367741557332643
2013-09-01,428.29,228.808,713.099,20.23,,572.1340309473451,295.50821667681066,1.9361019378120121
2013-10-01,428.586,228.362,711.827,20.25,,572.5294445062898,295.800365185636,1.9355264965510992
2013-11-01,428.485,228.449,711.32,20.31,,572.394522987866,296.67681071211194,1.9293537692209586
2013-12-01,428.622,228.892,713.838,20.34,,572.5775353445398,297.11503347534995,1.9271240793409516
2014-01-01,429.989,230.256,718.371,20.39,69060.0,574.4036513414228,297.8454047474132,1.9285295061998484
2014-02-01,431.137,230.905,723.172,20.51,,575.9372147389515,299.5982958003652,1.9223647891599573
2014-03-01,432.211,231.968,728.539,20.5,,577.371924746744,299.45222154595245,1.9280936430058955
